block_date,starknet_tx_count,zksync_tx_count,starknet_user_count,zksync_user_count,starknet_bridged_amount_usd,zksync_bridged_amount_usd,starknet_balance_amount_usd,zksync_balance_amount_usd
2022-04-01 00:00:00.000 UTC,16,8070,5,5908,125.5750232678949,6.035303919999996e+06,125.5750232678949,466067.98000000045
2022-05-01 00:00:00.000 UTC,18743,79225,15235,52032,607120.4534319891,1.152008805599999e+08,582819.632754048,-1.7312058400000085e+06
2022-06-01 00:00:00.000 UTC,9960,72834,7344,51645,339993.11568956275,6.661334746999999e+07,302872.3590352872,-1.641617369999986e+06
2022-07-01 00:00:00.000 UTC,8780,39531,6381,28358,342083.76789190783,2.5592314290000003e+07,246285.66636416694,-8.130503740000006e+06
2022-08-01 00:00:00.000 UTC,7594,41958,5991,28962,547969.988343494,1.854853273e+07,303613.70117798494,-7.498005519999995e+06
2022-09-01 00:00:00.000 UTC,5412,54424,3922,32855,448912.7192981009,2.5170205049999986e+07,153947.69323204664,9.264610029999997e+06
2022-10-01 00:00:00.000 UTC,21634,82320,17184,65149,1.9748721706642269e+06,4.5292946859999985e+07,1.229558058901126e+06,4.5292946859999985e+07
2022-11-01 00:00:00.000 UTC,43011,75236,30229,61818,4.306775255665939e+06,5.878256949000001e+07,1.6836247844050992e+06,5.878256949000001e+07
2022-12-01 00:00:00.000 UTC,50066,49125,35459,42287,5.39648737408237e+06,3.922623242999999e+07,1.0272907774850402e+06,3.922623242999999e+07
2023-01-01 00:00:00.000 UTC,23650,19598,17856,16940,3.0438984670761814e+06,1.5212140240000004e+07,458472.123014467,1.5212140240000004e+07
2023-02-01 00:00:00.000 UTC,21951,32332,16593,27845,3.1644283272921327e+06,2.3208730899999995e+07,961894.5971471139,2.3205995009999998e+07
2023-03-01 00:00:00.000 UTC,185720,823647,142860,372568,3.3889990141005084e+07,5.0039780897999984e+08,1.5555051346139055e+07,4.498752193500001e+08
2023-04-01 00:00:00.000 UTC,210240,933871,167716,393691,5.725050301277289e+07,1.0515256253299947e+09,1.479131915721619e+07,7.429685120099965e+08
2023-05-01 00:00:00.000 UTC,95850,421513,81348,311423,4.823977479562595e+07,5.916405292499996e+08,2.0974351906364564e+07,2.753027870700001e+08
2023-06-01 00:00:00.000 UTC,121654,779324,101385,532488,4.1676614317891814e+07,1.1425389159899983e+09,7.351844877349095e+06,6.829222508399984e+08
2023-07-01 00:00:00.000 UTC,145453,684470,125770,491513,1.3641235701160184e+08,1.1731774259599972e+09,2.846865748647963e+07,-3.616721709700015e+08
2023-08-01 00:00:00.000 UTC,251062,565185,212863,395658,3.1528489594929886e+08,1.1451015343099992e+09,5.518369467087345e+07,1.0208708199982569e+06
2023-09-01 00:00:00.000 UTC,366170,656686,306526,453794,4.8331192055937284e+08,1.5499614109099998e+09,1.0258604423540799e+07,2.2159486019999525e+08
2023-10-01 00:00:00.000 UTC,191284,463016,153208,320756,2.5953412550415158e+08,1.2507666139499996e+09,-2.2856641883710947e+07,4.029329180999916e+07
2023-11-01 00:00:00.000 UTC,81738,169326,68586,129960,1.3654978175860032e+08,9.560809832500002e+08,1.5837077929700991e+07,1.6003198209999956e+07
2023-12-01 00:00:00.000 UTC,18201,199786,13851,148565,3.2156613916562725e+07,1.0418851653499994e+09,-3.9398446431346655e+07,8.576498592000006e+07
2024-01-01 00:00:00.000 UTC,17074,387838,11362,294974,3.820271233238203e+07,1.0324613933299994e+09,-1.1431251539156572e+06,-5.658159818000094e+07
2024-02-01 00:00:00.000 UTC,11021,318689,7835,253681,8.698162653753199e+07,1.0736695521300002e+09,8.060909438433883e+07,1.3307745401999769e+08
2024-03-01 00:00:00.000 UTC,2137,340065,1237,297409,1.6927395899960265e+08,8.65760725839999e+08,1.6927395899960265e+08,-4.416465093000191e+07
2024-04-01 00:00:00.000 UTC,418,146857,233,121301,1.0417143280526234e+07,5.559568348400005e+08,1.0417143280526234e+07,3.429815378999933e+07
2024-05-01 00:00:00.000 UTC,351,95284,153,74889,4.699570811583291e+06,2.9589162023e+08,4.699570811583291e+06,-9.734316560999978e+07
2024-06-01 00:00:00.000 UTC,130,6397,41,4759,882273.6703571235,2.544876788999999e+07,882273.6703571235,503782.679999993
